Rating,Title,Text,ASIN,User ID
"1.0,",Didn\u2019t work at all lenses loose/broken.," ""These didn\u2019t work. Idk if they were damaged in shipping or what, but the lenses were loose or something. I could see half a lens with its edge in the frame and the rest was missing. It looked like it came loose or was broken."", ""images"""," ""B07N69T6TM"""," ""AFKZENTNBQ7A7V7UXW5JJI6UGRYQ"""
"5.0,",Excellent!," ""I love these. They even come with a carry case and several sizes of ear bud inserts. Thank heaven!  I get ear pain from most, but the smallest buds fit great.  They also have a charger and all of it fits in the carry case. I just wish they came in more colors preferably something bright!  When I leave them on my nightstand it takes a while to figure out which of half a dozen black cables are the right ones. Even white would be ok as only my iPhone has a white cord."", ""images"""," ""B01G8JO5F2"""," ""AFKZENTNBQ7A7V7UXW5JJI6UGRYQ"""
"5.0,",Great laptop backpack!," ""I was searching for a sturdy backpack for school that would allow me to carry my laptop as well as schoolbooks. After reading many of the reviews of this bag, I placed my order and crossed my fingers. I shouldn't have worried; it's a great bag! Solidly built and traveler-friendly with a ton of compartments for every little thing one might need to stow away. While this backpack is slightly larger than your average backpack, it is comfortable to wear trekking cross campus. Also, another aspect of this bag that I love is that it stands upright. I know that sounds kinda crazy, but I find it annoying when your backpack flops over next to your desk and stuff kind of just falls out, or if you need to grab something quickly out of the bag you have to awkwardly curl your body around the side of your chair and then on the way up, smash your head against the desk. So yeah, lazy girl (points to self) loves the convenience of a bag that stands upright for easy grabbage. I plan to travel with this backpack when I fly home this Christmas instead of bringing a bulky tote bag on the plane."", ""images"""," ""B001OC5JKY"""," ""AGGZ357AO26RQZVRLGU4D4N52DZQ"""
"5.0,",Best Headphones in the Fifties price range!," ""I've bought these headphones three times because I love them so much and overuse them and find ways to break the plug to where I can't use my warranty. The sound and bass are awesome. Hands down my favorite headphones in this price bracket."", ""images"""," ""B013J7WUGC"""," ""AG2L7H23R5LLKDKLBEF2Q3L2MVDA"""
"5.0,",Great Fan! I\u2019m a FAN!," ""Light weight, quiet and totally awesome!!! It doesn\u2019t come with a charging base, but the cord ends in a USB so you can plug it into a phone charger or portable charger. Anything with USB! It\u2019s  so light and works great! It\u2019s really quiet also!!!"", ""images"""," ""B072DSHKCH"""," ""AGCI7FAH4GL5FI65HYLKWTMFZ2CQ"""
"5.0,",Love the headphones - great range," ""These are fantastic headphones and I love that i can have my cell phone plugged in at a central location in my house and walk around the house and still listen to music or my book. the range for me is about 30' and the headphones will disconnect if i go outside and then reconnect when i get close to my phone again. If my phone is in my pocket it will stay connected where ever i go. I love listening to things without being attached or tethered to my phone. It also makes it harder for my kids to pull the earphones out of my ears when there is no long cord attached to my phone. I love the 1 click pause feature so i can quickly pause what i am listening to talk to someone (i don't have to go find my phone and swipe and pause). They are comfortable and stay on really well for my ears. I have taken them running and they stayed on as well. I had an issue about 1 year after I bought the headphones and the customer service was wonderful and understanding. really great product and I will continue to purchase and recommend these to my friends."", ""images"""," ""B07BND376H"""," ""AGCI7FAH4GL5FI65HYLKWTMFZ2CQ"""
"5.0,",Five Stars," ""pretty good for the price."", ""images"""," ""B002HWRZ2K"""," ""AGCI7FAH4GL5FI65HYLKWTMFZ2CQ"""
"5.0,",BUY THIS THANG," ""yes.. so good.  just buy it. my favorite feature is it auto connects and remembers my devices."", ""images"""," ""B00WK47VEW"""," ""AGCI7FAH4GL5FI65HYLKWTMFZ2CQ"""
"1.0,",Not sure why this has good reviews. My devices had a hard time connecting," ""This devices brought my wifi network to its knees. Not sure why this has good reviews. My devices had a hard time connecting. And even if my devices weren't connected it would hog a bunch of bandwidth and slow the whole network. I personally would just buy an AirPort Extreme. That solved range problems for me."", ""images"""," ""B00L0YLRUW"""," ""AGCI7FAH4GL5FI65HYLKWTMFZ2CQ"""
"3.0,",Works but corners crack," ""Works well, but the corner of the plastic cracked and is broken after a month or so. I think at least 2 of the plastic corners are cracked now. still works but wish it was higher quality."", ""images"""," ""B00CB7W1GG"""," ""AGCI7FAH4GL5FI65HYLKWTMFZ2CQ"""
